gjs 2:1.84.2-1
glaze 5.5.2-1
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib2 2.84.3-1
glib2-devel 2.84.3-1
glib2-docs 2.84.3-1
glibc 2.41+r48+g5cb575ca9a3d-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glm 1.0.1-1
glow 2.1.1-1
glslang 1:1.4.313.0-1
glu 9.0.3-2
glycin 1.2.2-1
gmp 6.3.0-2
gnome-app-list 3.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 48.2.1-1
gnome-bluetooth-3.0 47.1-2
gnome-calculator 48.1-2
gnome-calendar 48.1-1
gnome-characters 48.0-1
gnome-clocks 48.0-1
gnome-color-manager 3.36.2-1
gnome-connections 48.0-6
gnome-console 48.0.1-1
gnome-contacts 48.0-1
gnome-control-center 48.3-1
gnome-desktop 1:44.3-1
gnome-desktop-4 1:44.3-1
gnome-desktop-common 1:44.3-1
gnome-disk-utility 46.1-2
gnome-font-viewer 48.0-1
gnome-keybindings 48.3-1
gnome-keyring 1:48.0-1
gnome-logs 45.0-2
gnome-maps 48.4-1
gnome-menus 3.36.0-3
gnome-mimeapps 0.1-1
gnome-music 1:48.0-1
gnome-online-accounts 3.54.4-1
gnome-remote-desktop 48.1-1
gnome-session 48.0-1
gnome-settings-daemon 48.1-1
gnome-shell 1:48.3-1
gnome-shell-extensions 48.3-1
gnome-software 48.3-1
gnome-system-monitor 48.1-1
gnome-text-editor 48.3-1
gnome-tour 48.1-1
gnome-tweaks 46.1-2
gnome-user-docs 48.2-1
gnome-user-share 48.1-1
gnome-weather 48.0-2
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnutls 3.8.10-1
go 2:1.24.5-1
gobject-introspection 1.84.0-2
gobject-introspection-runtime 1.84.0-2
gom 0.5.3-2
google-chrome-beta 139.0.7258.31-1
gperftools 2.16-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gping 1.18.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
graphene 1.10.8-2
graphite 1:1.3.14-5
graphviz 13.1.0-1
grep 3.12-2
grilo 0.3.19-1
grilo-plugins 1:0.3.18-1
grim 1.5.0-1
groff 1.23.0-7
grub 2:2.12.r292.g73d1c959-1
gruvbox-plus-icon-theme-git 6.2.0.r274.g05db827-1
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-5
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-2
gssdp 1.6.4-1
gst-devtools-libs 1.26.3-2
gst-editing-services 1.26.3-2
gst-libav 1.26.3-2
gst-plugin-gtk 1.26.3-2
gst-plugin-gtk4 0.13.6-1
gst-plugin-pipewire 1:1.4.6-1
gst-plugins-bad 1.26.3-2
gst-plugins-bad-libs 1.26.3-2
gst-plugins-base 1.26.3-2
gst-plugins-base-libs 1.26.3-2
gst-plugins-good 1.26.3-2
gst-plugins-ugly 1.26.3-2
gst-python 1.26.3-2
gstreamer 1.26.3-2
gstreamer-vaapi 1.26.3-2
gtest 1.17.0-1
gtk-doc 1.34.0-3
gtk-layer-shell 0.9.2-1
gtk-update-icon-cache 1:4.18.6-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.49-2
gtk4 1:4.18.6-1
gtk4-layer-shell 1.1.1-1
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gtksourceview5 5.16.0-2
gts 0.7.6.121130-3
guile 3.0.10-1
gupnp 1:1.6.9-1
gupnp-av 0.14.4-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.57.2-4
gvfs-afc 1.57.2-4
gvfs-dnssd 1.57.2-4
gvfs-goa 1.57.2-4
gvfs-google 1.57.2-4
gvfs-gphoto2 1.57.2-4
gvfs-mtp 1.57.2-4
gvfs-nfs 1.57.2-4
gvfs-onedrive 1.57.2-4
gvfs-smb 1.57.2-4
gvfs-wsdd 1.57.2-4
gzip 1.14-2
harfbuzz 11.2.1-1
harfbuzz-icu 11.2.1-1
haskell-aeson 2.1.2.1-104
haskell-aeson-pretty 0.8.10-64
haskell-ansi-terminal 1.0.2-18
haskell-ansi-terminal-types 0.11.5-58
haskell-ansi-wl-pprint 0.6.9-477
haskell-appar 0.1.8-15
haskell-asn1-encoding 0.9.6-261
haskell-asn1-parse 0.9.5-261
haskell-asn1-types 0.3.4-240
haskell-assoc 1.1.1-22
haskell-async 2.2.5-109
haskell-attoparsec 0.14.4-106
haskell-attoparsec-aeson 2.1.0.0-88
haskell-attoparsec-iso8601 1.1.0.0-82
haskell-auto-update 0.1.6-377
haskell-base-compat 0.12.3-1
haskell-base-compat-batteries 0.12.3-10
haskell-base-orphans 0.9.1-10
haskell-base-unicode-symbols 0.2.4.2-15
haskell-base16-bytestring 1.0.2.0-111
haskell-base64-bytestring 1.2.1.0-135
haskell-basement 0.0.16-3
haskell-bifunctors 5.6-183
haskell-bitvec 1.1.3.0-151
haskell-blaze-builder 0.4.2.3-3
haskell-blaze-html 0.9.2.0-31
haskell-blaze-markup 0.8.3.0-41
haskell-boring 0.2.2-1
haskell-bsb-http-chunked 0.0.0.4-422
haskell-byteorder 1.0.4-26
haskell-call-stack 0.4.0-244
haskell-case-insensitive 1.2.1.0-234
haskell-cassava 0.5.3.2-45
haskell-cereal 0.5.8.3-3
haskell-citeproc 0.8.1-179
haskell-cmdargs 0.10.22-3
haskell-colour 2.3.6-268
haskell-commonmark 0.2.5.1-28
haskell-commonmark-extensions 0.2.5.3-25
haskell-commonmark-pandoc 0.2.2.1-49
haskell-comonad 5.0.9-40
haskell-conduit 1.3.6.1-44
haskell-conduit-extra 1.3.6-201
haskell-constraints 0.13.4-82
haskell-contravariant 1.5.5-5
haskell-cookie 0.4.6-3
haskell-crypton 1.0.0-6
haskell-crypton-connection 0.4.1-10
haskell-crypton-x509 1.7.6-60
haskell-crypton-x509-store 1.6.9-60
haskell-crypton-x509-system 1.6.7-60
haskell-crypton-x509-validation 1.6.13-14
haskell-data-default 0.7.1.1-349
haskell-data-default-class 0.1.2.0-26
haskell-data-default-instances-containers 0.1.0.2-4
haskell-data-default-instances-dlist 0.0.1.2-30
haskell-data-default-instances-old-locale 0.0.1-40
haskell-data-fix 0.3.3-13
haskell-dec 0.0.6-1
haskell-digest 0.0.1.7-3
haskell-distributive 0.6.2.1-242
haskell-djot 0.1.1.3-32
haskell-dlist 1.0-280
haskell-doclayout 0.4.0.1-64
haskell-doctemplates 0.11-130
haskell-easy-file 0.2.5-52
haskell-emojis 0.1.4.1-13
haskell-erf 2.0.0.0-26
haskell-fast-logger 3.2.1-9
haskell-file-embed 0.0.15.0-3
haskell-foldable1-classes-compat 0.1-183
haskell-generically 0.1.1-18
haskell-glob 0.10.2-121
haskell-gridtables 0.1.0.0-83
haskell-haddock-library 1.11.0-88
haskell-hashable 1.4.4.0-94
haskell-hourglass 0.2.12-277
haskell-hslua 2.3.0-110
haskell-hslua-aeson 2.3.0.1-92
haskell-hslua-classes 2.3.0-107
haskell-hslua-core 2.3.1-99
haskell-hslua-list 1.1.3-35
haskell-hslua-marshalling 2.3.1-59
haskell-hslua-module-doclayout 1.1.1-9
haskell-hslua-module-path 1.1.1-10
haskell-hslua-module-system 1.1.1-20
haskell-hslua-module-text 1.1.0.1-83
haskell-hslua-module-version 1.1.1-52
haskell-hslua-module-zip 1.1.1-79
haskell-hslua-objectorientation 2.3.0-103
haskell-hslua-packaging 2.3.1-68
haskell-hslua-repl 0.1.2-65
haskell-hslua-typing 0.1.1-61
haskell-http-api-data 0.5.1-107
haskell-http-client 0.7.18-10
haskell-http-client-tls 0.3.6.4-30
haskell-http-date 0.0.11-168
haskell-http-media 0.8.1.1-45
haskell-http-types 0.12.4-59
haskell-http2 4.1.2-2
haskell-hunit 1.6.2.0-286
haskell-indexed-traversable 0.1.4-96
haskell-indexed-traversable-instances 0.1.2-48
haskell-integer-logarithms 1.0.4-7
haskell-iproute 1.7.15-14
haskell-ipynb 0.2-196
haskell-isocline 1.0.9-3
haskell-jira-wiki-markup 1.5.1-53
haskell-juicypixels 3.3.9-19
haskell-lexer 1.1.1-3
haskell-libyaml 0.1.4-72
haskell-lpeg 1.0.4-58
haskell-lua 2.3.3-30
haskell-memory 0.18.0-39
haskell-mime-types 0.1.2.0-3
haskell-mmorph 1.2.0-7
haskell-monad-control 1.0.3.1-133
haskell-mono-traversable 1.0.21.0-45
haskell-network 3.1.4.0-51
haskell-network-byte-order 0.1.7-3
haskell-network-uri 2.6.4.2-63
haskell-old-locale 1.0.0.7-32
haskell-old-time 1.1.0.4-4
haskell-onetuple 0.4.2-39
haskell-only 0.1-24
haskell-optparse-applicative 0.17.1.0-94
haskell-ordered-containers 0.2.4-31
haskell-os-string 2.0.7-36
haskell-pandoc 3.1.12.1-78
haskell-pandoc-lua-engine 0.2.1.2-161
haskell-pandoc-lua-marshal 0.2.7-53
haskell-pandoc-server 0.1.0.5-184
haskell-pandoc-types 1.23.1-78
haskell-pem 0.2.4-317
haskell-pretty-show 1.10-17
haskell-prettyprinter 1.7.1-218
haskell-primitive 0.8.0.0-23
haskell-psqueues 0.2.8.1-19
haskell-quickcheck 2.14.3-152
haskell-random 1.2.1.2-93
haskell-recv 0.1.0-61
haskell-regex-base 0.94.0.3-2
haskell-regex-tdfa 1.3.2.4-9
haskell-resourcet 1.2.6-82
haskell-safe 0.3.21-36
haskell-safe-exceptions 0.1.7.4-52
haskell-scientific 0.3.7.0-145
haskell-semialign 1.3-37
haskell-semigroupoids 6.0.1-20
haskell-servant 0.20.2-56
haskell-servant-server 0.20.2-80
haskell-sha 1.6.4.4-21
haskell-simple-sendfile 0.2.32-103
haskell-singleton-bool 0.1.7-9
haskell-skylighting 0.14.1.1-61
haskell-skylighting-core 0.14.1.1-59
haskell-skylighting-format-ansi 0.1-193
haskell-skylighting-format-blaze-html 0.1.1.3-47
haskell-skylighting-format-context 0.1.0.2-157
haskell-skylighting-format-latex 0.1-192
haskell-socks 0.6.1-268
haskell-some 1.0.6-2
haskell-sop-core 0.5.0.2-3
haskell-split 0.2.5-37
haskell-splitmix 0.1.0.5-83
haskell-statevar 1.2.2-4
haskell-streaming-commons 0.2.3.0-13
haskell-strict 0.5-68
haskell-syb 0.7.2.4-53
haskell-tagged 0.8.9-2
haskell-tagsoup 0.14.8-257
haskell-tasty 1.4.3-136
haskell-temporary 1.3-686
haskell-texmath 0.12.8.7-46
haskell-text-conversions 0.3.1.1-94
haskell-text-icu 0.8.0.5-34
haskell-text-short 0.1.6-30
haskell-th-abstraction 0.5.0.0-1
haskell-th-compat 0.1.6-13
haskell-th-lift 0.8.5-1
haskell-th-lift-instances 0.1.20-80
haskell-these 1.2.1-6
haskell-time-compat 1.9.6.1-128
haskell-time-manager 0.0.1-74
haskell-tls 1.9.0-26
haskell-toml-parser 2.0.1.0-14
haskell-transformers-base 0.4.6-133
haskell-transformers-compat 0.7.2-3
haskell-type-equality 1.0.1-2
haskell-typed-process 0.2.13.0-1
haskell-typst 0.5.0.2-29
haskell-typst-symbols 0.1.5-2
haskell-unicode-collation 0.1.3.6-46
haskell-unicode-data 0.5.0-9
haskell-unicode-transforms 0.4.0.1-106
haskell-uniplate 1.6.13-262
haskell-unix-compat 0.7.3-32
haskell-unix-time 0.4.16-13
haskell-unliftio 0.2.25.1-19
haskell-unliftio-core 0.2.1.0-3
haskell-unordered-containers 0.2.20-57
haskell-utf8-string 1.0.2-186
haskell-uuid-types 1.0.6-19
haskell-vault 0.3.1.5-224
haskell-vector 0.13.2.0-13
haskell-vector-algorithms 0.9.1.0-33
haskell-vector-stream 0.1.0.1-3
haskell-wai 3.2.4-72
haskell-wai-app-static 3.1.9-107
haskell-wai-cors 0.2.7-408
haskell-wai-extra 3.1.17-17
haskell-wai-logger 2.5.0-53
haskell-warp 3.3.30-141
haskell-witherable 0.4.2-155
haskell-word8 0.1.3-24
haskell-xml 1.3.14-32
haskell-xml-conduit 1.9.1.4-53
haskell-xml-types 0.3.8-10
haskell-yaml 0.11.11.2-116
haskell-zip-archive 0.4.3.2-33
haskell-zlib 0.6.3.0-91
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.2.0-1
hslua-cli 1.4.3-5
htop 3.4.1-1
hunspell 1.7.2-2
hwdata 0.397-1
hwloc 2.12.1-1
hyphen 2.8.8-6
hyprcursor-git 0.1.12.r2.gac903e8-1
hyprgraphics-git 0.1.3.r1.g6075491-1
hypridle-git 0.1.6.r3.ga0037ac-1
hyprland-git 0.48.0.r150.gadbae0f-1
hyprland-meta-git 0.0.1-5
hyprland-qt-support-git 0.1.0.r8.g073c52b-1
hyprland-qtutils-git 0.1.4.r0.g4be1d32-1
hyprlang-git 0.6.1.r1.g397600c-1
hyprlock-git 0.8.2.r0.g6c64630-1
